user_id,attempt,recent_attempt,CF,recent_CF,u_bloom_score,u_3PL_score,u_recent_CF,CR,LI,LG,type
6321,92.0,0.0,0.5217391304347826,0.0,6.0,-2.0520127081,0.0,32.55696202531646,27.89873417721519,1692.0,repeat
6322,111.0,0.0,0.918918918918919,0.0,41.0,40.555845313,0.0,45.139240506329116,65.30379746835443,519.0,repeat
6323,23.0,0.0,0.21739130434782608,0.0,-9.0,-7.1295735831,0.0,49.620253164556964,27.746835443037973,2465.0,repeat
6325,201.0,0.0,0.5024875621890548,0.0,-15.5,-6.6114310857000005,0.0,75.69620253164557,19.962025316455698,4206.0,repeat
6326,79.0,0.0,0.4050632911392405,0.0,-10.5,-7.460410652199999,0.0,44.151898734177216,17.860759493670887,2580.0,repeat
6327,332.0,0.0,0.7439759036144579,0.0,82.0,63.1261223629,0.0,92.70886075949367,60.56962025316456,2576.0,repeat
6328,99.0,0.0,0.3434343434343434,0.0,-17.0,-15.5884566537,0.0,39.20253164556962,11.784810126582279,2423.0,repeat
6329,4.0,0.0,0.25,0.0,-2.0,-1.0900990355,0.0,36.0,19.0,727.0,new
6330,84.0,0.0,0.6309523809523809,0.0,1.0,5.3261952111,0.0,36.22784810126582,30.88607594936709,1630.0,repeat
6331,80.0,0.0,0.85,0.0,26.5,22.318710309100002,0.0,37.53164556962025,73.40506329113924,736.0,repeat
6332,56.0,0.0,0.6428571428571429,0.0,6.5,4.5818589303,0.0,29.556962025316455,41.481012658227854,1390.0,repeat
6333,320.0,0.0,0.7625,0.0,83.0,65.0492678472,0.0,82.46835443037975,60.50632911392405,2288.0,repeat
6334,72.0,0.0,0.8194444444444444,0.0,19.0,15.9789933845,0.0,34.49367088607595,67.32911392405063,832.0,repeat
6335,41.0,0.0,0.2682926829268293,0.0,-13.5,-10.8593370205,0.0,27.544303797468356,3.5316455696202533,1742.0,repeat
6351,18.0,0.0,0.0,0.0,-9.5,-7.403009959,0.0,0.0,0.0,156.0,repeat
6368,36.0,0.0,0.2222222222222222,0.0,-10.5,-9.0227870666,0.0,85.0,9.4,620.0,repeat
6402,694.0,0.0,0.7406340057636888,0.0,173.5,110.5198228369,0.0,100.0,69.05555555555556,2945.0,repeat
6404,626.0,0.0,0.8274760383386581,0.0,239.0,182.9096889282,0.0,89.53333333333333,36.0,5413.0,repeat
6406,529.0,0.0,0.5916824196597353,0.0,44.5,46.3515852013,0.0,86.17777777777778,15.522222222222222,6944.0,repeat
6407,687.0,0.0,0.7743813682678311,0.0,178.5,132.1246559262,0.0,94.0,83.7,1584.0,repeat
6408,539.0,0.0,0.6901669758812616,0.0,113.0,62.85952384850001,0.0,68.94444444444444,42.65555555555556,3580.0,repeat
6409,608.0,0.0,0.41776315789473684,0.0,-60.5,-61.87726281729999,0.0,83.42222222222222,25.6,5704.0,repeat
6410,604.0,0.0,0.9652317880794702,0.0,301.0,258.0044670271,0.0,84.46666666666667,70.88888888888889,2171.0,repeat
6411,694.0,0.0,0.8472622478386167,0.0,267.5,213.9611654091,0.0,96.46666666666667,42.888888888888886,4962.0,repeat
6412,694.0,0.0,0.9711815561959655,0.0,334.5,295.5052060105,0.0,94.0,87.0,1144.0,repeat
6413,692.0,0.0,0.6748554913294798,0.0,110.0,68.362632145,0.0,97.05555555555556,47.82222222222222,4719.0,repeat
6414,613.0,0.0,0.6492659053833605,0.0,92.5,77.79767910049999,0.0,82.94444444444444,40.233333333333334,4714.0,repeat
6415,648.0,0.0,0.7191358024691358,0.0,151.0,95.48548202420001,0.0,87.76666666666667,58.17777777777778,3432.0,repeat
6416,659.0,0.0,0.7465857359635811,0.0,145.0,104.48128929500001,0.0,100.0,69.11111111111111,3030.0,repeat
6418,108.0,0.0,0.5740740740740741,0.0,11.0,1.0357271756000004,0.0,23.644444444444446,26.055555555555557,1610.0,repeat
6419,665.0,0.0,0.9353383458646617,0.0,290.0,259.400421853,0.0,94.7,77.93333333333334,2066.0,repeat
6420,670.0,0.0,0.3567164179104478,0.0,-114.0,-111.1866346456,0.0,97.05555555555556,58.044444444444444,4095.0,repeat
6421,686.0,0.0,0.5364431486880467,0.0,43.5,50.0607696747,0.0,94.0,8.533333333333333,7923.0,repeat
6422,674.0,0.0,0.44807121661721067,0.0,-45.5,-75.75786483799999,0.0,94.0,36.58888888888889,5524.0,repeat
6423,633.0,0.0,0.7203791469194313,0.0,144.0,85.21115058650001,0.0,93.52222222222223,63.82222222222222,3130.0,repeat
6425,625.0,0.0,0.2208,0.0,-187.0,-168.9012500385,0.0,95.64444444444445,26.288888888888888,6663.0,repeat
6426,406.0,0.0,0.8300492610837439,0.0,126.5,100.8673496807,0.0,100.0,63.43529411764706,2897.0,repeat
6427,430.0,0.0,0.6953488372093023,0.0,79.5,54.16420243660001,0.0,100.0,26.976470588235294,5743.0,repeat
6428,378.0,0.0,0.7724867724867724,0.0,92.0,69.360873888,0.0,93.92941176470588,47.95294117647059,3828.0,repeat
6429,389.0,0.0,0.7660668380462725,0.0,110.0,73.6398180443,0.0,97.47058823529412,37.45882352941177,4765.0,repeat
6430,430.0,0.0,0.4232558139534884,0.0,-51.5,-18.8150371256,0.0,100.0,40.30588235294117,4736.0,repeat
6432,190.0,0.0,0.6052631578947368,0.0,19.5,10.195777715799998,0.0,81.30588235294118,29.04705882352941,4494.0,repeat
6433,430.0,0.0,0.3325581395348837,0.0,-85.5,-58.167697689600004,0.0,99.01176470588236,16.48235294117647,6466.0,repeat
6434,427.0,0.0,0.8548009367681498,0.0,140.0,115.8126762464,0.0,99.01176470588236,75.47058823529412,1916.0,repeat
6435,212.0,0.0,0.6981132075471698,0.0,32.5,33.636388446,0.0,87.85882352941177,48.976470588235294,3483.0,repeat
